annee,region,age,taille,couleur_cheveux,longueur_cheveux,couleur_yeux,couleur_peau,laureat_culture_generale,est_tombee,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12
2016,Côte d Azur,20,172,Bruns,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,Franche-Comté,19,172,Bruns,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Guadeloupe,20,177,Bruns,Longs,Marrons,Noire,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Guyane,21,182,Bruns,Mi-longs,Marrons,Noire,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Île-de-France,18,175,Bruns,Longs,Verts,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Languedoc,20,173,Blonds,Longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1
2016,Limousin,19,178,Bruns,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Lorraine,18,171,Bruns,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Martinique,19,177,Noirs,Courts,Noirs,Noire,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1
2016,Mayotte,18,170,Noirs,Courts,Noirs,Noire,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Midi-Pyrénées,23,174,Bruns,Longs,Verts,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Nord-Pas-de-Calais,22,172,Bruns,Longs,Marrons,Blanche,1.0,0,1,1,1,1,1,1,1,1,1,1,1,1
2016,Normandie,23,178,Blonds,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Nouvelle-Calédonie,18,176,Noirs,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Pays de la Loire,20,173,Blonds,Longs,Verts,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Picardie,19,174,Blonds,Mi-longs,Verts,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Poitou-Charentes,19,178,Chatains,Longs,Verts,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Provence,17,173,Chatains,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,1,1,1,1,1,1,1,1,1
2016,Réunion,19,181,Noirs,Mi-longs,Marrons,Métisse,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1
2016,Rhône-Alpes,20,172,Bruns,Mi-longs,Verts,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1
2016,Roussillon,21,178,Bruns,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Saint-Pierre-et-Miquelon,18,174,Blonds,Longs,Verts,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Tahiti,18,178,Bruns,Longs,Marrons,Métisse,0.0,0,0,0,1,1,1,1,1,1,1,1,1,1
2017,Alsace,19,180,Blonds,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1
2017,Aquitaine,19,176,Chatains,Longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1
2017,Auvergne,20,170,Blonds,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Bourgogne,21,171,Bruns,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Bretagne,20,174,Blonds,Longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,1,1,1,1,1,1
2017,Centre-Val-de-Loire,20,170,Blonds,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Champagne-Ardenne,19,182,Chatains,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Corse,19,171,Noirs,Mi-longs,Gris,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Côte d Azur,23,173,Chatains,Longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Franche-Comté,20,171,Bruns,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Guadeloupe,21,178,Noirs,Courts,Marrons,Noire,0.0,0,0,0,0,1,1,1,1,1,1,1,1,1
2017,Guyane,18,178,Bruns,Mi-longs,Verts,Métisse,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1
2017,Île-de-France,22,172,Noirs,Longs,Marrons,Noire,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1
2017,Languedoc-Roussillon,21,173,Bruns,Longs,Marrons,Blanche,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1
2017,Limousin,18,175,Blonds,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Lorraine,19,173,Noirs,Courts,Noirs,Noire,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1
2017,Martinique,18,178,Noirs,Courts,Noirs,Noire,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mayotte,19,175,Noirs,Courts,Noirs,Noire,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,Midi-Pyrénées,23,178,Blonds,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nord-Pas-de-Calais,22,174,Chatains,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Normandie,20,183,Chatains,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,Nouvelle-Calédonie,18,175,Blonds,Longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Pays de la Loire,21,178,Noirs,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Picardie,24,176,Bruns,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1
2017,Poitou-Charentes,19,172,Chatains,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Provence,22,179,Bruns,Courts,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Réunion,19,177,Bruns,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,1,1,1,1,1,1,1
2017,Rhône-Alpes,20,175,Chatains,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
