annee;audience;region;name;age;taille;couleur_cheveux;longueur_cheveux;couleur_yeux;couleur_peau;rang;laureat_culture_generale;est_tombee;image
2010;7,9;Artois-Hainaut;Astrid Ponchel;21;179;Blonds;Mi-longs;Gris;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/e/ee/Artois-Hainaut_2009.jpg/revision/latest?cb=20181111132943&path-prefix=fr
2010;7,9;Auvergne;Mégane Potier;19;173;Bruns;Longs;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/d/db/Auvergne_2009.jpg/revision/latest?cb=20181111132957&path-prefix=fr
2010;7,9;Béarn-Gascogne;Marine Bories;20;172;Bruns;Mi-longs;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/3/32/B%C3%A9arn-Gascogne_2009.jpg/revision/latest?cb=20181111133023&path-prefix=fr
2010;7,9;Berry-Val-de-Loire;Élodie Martel;18;172;Bruns;Courts;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/a/a3/Berry-Val-de-Loire_2009.jpg/revision/latest?cb=20181111133038&path-prefix=fr
2010;7,9;Bourgogne;Jenna Tournay;19;175;Blonds;Courts;Gris;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/8/82/Bourgogne_2009.jpg/revision/latest?cb=20181111133053&path-prefix=fr
2010;7,9;Bretagne;Mélanie Craignou;19;178;Bruns;Longs;Gris;Blanche;3.0;;0;https://static.wikia.nocookie.net/miss/images/e/e6/Bretagne_2009.jpg/revision/latest?cb=20181111133135&path-prefix=fr
2010;7,9;Champagne-Ardenne;Cécile Brandao;22;172;Chatains;Courts;Marrons;Blanche;10.0;;0;https://static.wikia.nocookie.net/miss/images/2/23/Champagne-Ardenne_2009.jpg/revision/latest?cb=20181111133148&path-prefix=fr
2010;7,9;Corse;Céline Nicolaï;21;177;Bruns;Longs;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/0/0a/Corse_2009.jpg/revision/latest?cb=20181111133208&path-prefix=fr
2010;7,9;Côte d'Azur;Anaïs Governatori;20;172;Chatains;Longs;Gris;Blanche;12.0;;0;https://static.wikia.nocookie.net/miss/images/2/28/C%C3%B4te_d%27Azur_2009.jpg/revision/latest?cb=20181111133224&path-prefix=fr
2010;7,9;Flandre;Aline Bourgeois;20;175;Blonds;Longs;Verts;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/7/71/Flandre_2009.jpg/revision/latest?cb=20181111133301&path-prefix=fr
